N_gen,N_samplings,data_p,lambd,lambd_surr,beta_0,beta_perp,surr_score,log_loss_test,mis_error_test,log_loss_val,mis_error_val,alpha_0,alpha_s,alpha_perp,grad_norm,split_pct,acc_train,theta_surr_norm,alpha_exp,effectiveN,label_method,label_method_a,label_method_b
0,9,3000,0.001,,5.0,0.0,,1.1773924166838852,0.26886666666666664,1.1940669442767784,0.26636666666666664,5.7106777578262395,0,5.464780573233105,0.005824586279116724,90,1.0,7.904155057140343,-1.0,6193,misspec,0.95,0.05
0,0,3000,0.01,,5.0,0.0,,0.6115139261374417,0.33703333333333335,0.6159635380137825,0.3439333333333333,0.461614215533557,0,0.739171272953225,1.1303906553262074e-05,5,1.0,0.871471086578294,-1.0,352,misspec,0.95,0.05
0,1,3000,0.01,,5.0,0.0,,0.6211492664759906,0.3431666666666667,0.6241216824352125,0.34736666666666666,0.4159059593535407,0,0.7155654654384697,1.0366029984228432e-05,5,1.0,0.8276543374827215,-1.0,315,misspec,0.95,0.05
0,2,3000,0.01,,5.0,0.0,,0.6385795005147821,0.3661,0.644058850222763,0.37016666666666664,0.38851145922832586,0,0.7774443390907422,1.0578670217361631e-05,5,1.0,0.8691149833801993,-1.0,334,misspec,0.95,0.05
0,3,3000,0.01,,5.0,0.0,,0.6104081949026265,0.3343,0.6143679669854523,0.33723333333333333,0.4580239676343821,0,0.7206445596604563,1.1220183082850666e-05,5,1.0,0.8538820388647101,-1.0,343,misspec,0.95,0.05
0,4,3000,0.01,,5.0,0.0,,0.6154623112640153,0.34236666666666665,0.6177764994570112,0.3433,0.44971436706248696,0,0.7456105592002612,1.0145015625332971e-05,5,1.0,0.8707342407034074,-1.0,349,misspec,0.95,0.05
0,5,3000,0.01,,5.0,0.0,,0.6105193794935522,0.33636666666666665,0.6130099214340847,0.33813333333333334,0.4809397197142604,0,0.7484694320171611,2.301753363100237e-05,5,1.0,0.8896681991972755,-1.0,371,misspec,0.95,0.05
0,6,3000,0.01,,5.0,0.0,,0.6134111382066251,0.33986666666666665,0.610840345506655,0.3342333333333333,0.4615712745710159,0,0.7295626207575128,1.2346666452729224e-05,5,1.0,0.863313187154976,-1.0,346,misspec,0.95,0.05
0,7,3000,0.01,,5.0,0.0,,0.6175833926254122,0.34176666666666666,0.6230721998858171,0.35033333333333333,0.45265153197925423,0,0.7603816611296739,1.432317866275861e-05,5,1.0,0.8849145043367116,-1.0,358,misspec,0.95,0.05
0,8,3000,0.01,,5.0,0.0,,0.6138721071003229,0.33753333333333335,0.6188675637917305,0.3444333333333333,0.44853781144035365,0,0.7335215768882011,1.0674308319083082e-05,5,1.0,0.8597907140998066,-1.0,336,misspec,0.95,0.05
0,9,3000,0.01,,5.0,0.0,,0.6125069251382608,0.3373333333333333,0.6140635957061377,0.3384666666666667,0.4646655634222522,0,0.7412109510083984,1.657768664682208e-05,5,1.0,0.8748187010605646,-1.0,356,misspec,0.95,0.05
